id,Doc,Target,Original_Value,Attached_Value,Type,Annotator,DOI
0,Antiplasticisation and oxygen permeability of starch–sorbitol films,o2_permeability,"(['1.43', '×', '10', '^', '−', '16'], ['cm', '^', '3', 'cm', '/', 'cm', '^', '2', 's', 'Pa'])","['oxygen', 'permeability']",QUANTITY,3,https://doi.org/10.1016/S0144-8617(99)00206-4
1,Antiplasticisation and oxygen permeability of starch–sorbitol films,o2_permeability,"(['0.15', '×', '10', '^', '−', '16'], ['cm', '^', '3', 'cm', '/', 'cm', '^', '2', 's', 'Pa'])","['oxygen', 'permeability']",QUANTITY,3,https://doi.org/10.1016/S0144-8617(99)00206-4
2,Antiplasticisation and oxygen permeability of starch–sorbitol films,thickness,"(['0.5'], ['mm'])","['thick', 'films']",QUANTITY,3,https://doi.org/10.1016/S0144-8617(99)00206-4
3,Antiplasticisation and oxygen permeability of starch–sorbitol films,temperature,"(['20'], ['°', 'C'])",['Temperature'],QUANTITY,3,https://doi.org/10.1016/S0144-8617(99)00206-4
4,Antiplasticisation and oxygen permeability of starch–sorbitol films,relative_humidity,"(['0'], ['%'])",['ERH'],QUANTITY,3,https://doi.org/10.1016/S0144-8617(99)00206-4
5,Antiplasticisation and oxygen permeability of starch–sorbitol films,relative_humidity,"(['57'], ['%'])",['EHR'],QUANTITY,3,https://doi.org/10.1016/S0144-8617(99)00206-4
6,Antiplasticisation and oxygen permeability of starch–sorbitol films,o2_permeability,"(['934.6', '×', '10', '^', '−', '16'], ['cm', '^', '3', 'cm', '/', 'cm', '^', '2', 's', 'Pa'])",['permeability'],QUANTITY,3,https://doi.org/10.1016/S0144-8617(99)00206-4
7,Antiplasticisation and oxygen permeability of starch–sorbitol films,o2_permeability,"(['4.3', '×', '10', '^', '−', '16'], ['cm', '^', '3', 'cm', '/', 'cm', '^', '2', 's', 'Pa'])",['permeability'],QUANTITY,3,https://doi.org/10.1016/S0144-8617(99)00206-4
8,Antiplasticisation and oxygen permeability of starch–sorbitol films,o2_permeability,"(['200', '×', '10', '^', '−', '16'], ['cm', '^', '3', 'cm', '/', 'cm', '^', '2', 's', 'Pa'])",['permeability'],QUANTITY,3,https://doi.org/10.1016/S0144-8617(99)00206-4
9,Antiplasticisation and oxygen permeability of starch–sorbitol films,component_qty_value,"(['8.8'], ['%'])",['sorbitol'],ADDIMENTIONNAL,3,https://doi.org/10.1016/S0144-8617(99)00206-4
10,Antiplasticisation and oxygen permeability of starch–sorbitol films,component_qty_value,"(['23.8'], ['%'])",['water'],ADDIMENTIONNAL,3,https://doi.org/10.1016/S0144-8617(99)00206-4
11,Antiplasticisation and oxygen permeability of starch–sorbitol films,component_qty_value,"(['0'], '')",['sorbitol'],ADDIMENTIONNAL,3,https://doi.org/10.1016/S0144-8617(99)00206-4
12,Antiplasticisation and oxygen permeability of starch–sorbitol films,component_qty_value,"(['8.8'], '')",['sorbitol'],ADDIMENTIONNAL,3,https://doi.org/10.1016/S0144-8617(99)00206-4
13,Antiplasticisation and oxygen permeability of starch–sorbitol films,component_qty_value,"(['21.0'], '')",['sorbitol'],ADDIMENTIONNAL,3,https://doi.org/10.1016/S0144-8617(99)00206-4
14,Antiplasticisation and oxygen permeability of starch–sorbitol films,component_qty_value,"(['24.3'], '')",['sorbitol'],ADDIMENTIONNAL,3,https://doi.org/10.1016/S0144-8617(99)00206-4
15,Antiplasticisation and oxygen permeability of starch–sorbitol films,component_qty_value,"(['0'], ['%'])",['sorbitol'],ADDIMENTIONNAL,3,https://doi.org/10.1016/S0144-8617(99)00206-4
16,Antiplasticisation and oxygen permeability of starch–sorbitol films,component_qty_value,"(['28'], ['%'])",['sorbitol'],ADDIMENTIONNAL,3,https://doi.org/10.1016/S0144-8617(99)00206-4
17,Antiplasticisation and oxygen permeability of starch–sorbitol films,component_qty_value,"(['28.0'], ['%'])",['sorbitol'],ADDIMENTIONNAL,3,https://doi.org/10.1016/S0144-8617(99)00206-4
18,Antiplasticisation and oxygen permeability of starch–sorbitol films,component_qty_value,"(['29.0'], ['%'])",['water'],ADDIMENTIONNAL,3,https://doi.org/10.1016/S0144-8617(99)00206-4
19,Antiplasticisation and oxygen permeability of starch–sorbitol films,packaging,"['starch–sorbitol', 'films']",,SYMBOLIC,3,https://doi.org/10.1016/S0144-8617(99)00206-4
20,Antiplasticisation and oxygen permeability of starch–sorbitol films,packaging,"['sorbitol–starch–water', 'films']",,SYMBOLIC,3,https://doi.org/10.1016/S0144-8617(99)00206-4
21,Antiplasticisation and oxygen permeability of starch–sorbitol films,packaging,"['the', 'sample']",,SYMBOLIC,3,https://doi.org/10.1016/S0144-8617(99)00206-4
22,Antiplasticisation and oxygen permeability of starch–sorbitol films,method,"['ASTM', 'Standard', 'Method']",,SYMBOLIC,3,https://doi.org/10.1016/S0144-8617(99)00206-4
23,Antiplasticisation and oxygen permeability of starch–sorbitol films,packaging,['film'],,SYMBOLIC,3,https://doi.org/10.1016/S0144-8617(99)00206-4
24,Antiplasticisation and oxygen permeability of starch–sorbitol films,packaging,['EVOH'],,SYMBOLIC,3,https://doi.org/10.1016/S0144-8617(99)00206-4
25,Antiplasticisation and oxygen permeability of starch–sorbitol films,packaging,"['starch', 'films']",,SYMBOLIC,3,https://doi.org/10.1016/S0144-8617(99)00206-4
26,Application of bioplastics for food packaging,o2_permeability,"(['420'], ['cm', '^', '3', '/', 'm', '^', '2', '/', '10', '^', '5', 'Pa', '/', 'day'])",['OTR'],QUANTITY,3,https://doi.org/10.1016/j.tifs.2013.06.003
27,Application of bioplastics for food packaging,o2_permeability,"(['12'], ['cm', '^', '3', '/', 'm', '^', '2', '/', '10', '^', '5', 'Pa', '/', 'day'])",['OTR'],QUANTITY,3,https://doi.org/10.1016/j.tifs.2013.06.003
28,Application of bioplastics for food packaging,o2_permeability,"(['400'], ['cm', '^', '3', '/', 'm', '^', '2', '/', '10', '^', '5', 'Pa', '/', 'day'])",['OTR'],QUANTITY,3,https://doi.org/10.1016/j.tifs.2013.06.003
29,Application of bioplastics for food packaging,o2_permeability,"(['2'], ['cm', '^', '3', '/', 'm', '^', '2', '/', '10', '^', '5', 'Pa', '/', 'day'])",['OTR'],QUANTITY,3,https://doi.org/10.1016/j.tifs.2013.06.003
