id,Doc,Target,Original_Value,Attached_Value,Type,Annotator,DOI
0,Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['3400'], ['cm', '^', '3', 'mm', '/', '(', 'm', '^', '2', 'atm', 'day', ')'])","['carbon', 'dioxide']",QUANTITY,1,https://doi.org/10.1016/j.carbpol.2006.02.005
1123,Barrier properties of chitosan coated polyethylene,packaging,['Biopolymer'],,SYMBOLIC,1,https://doi.org/10.1016/j.memsci.2012.02.037
1122,Barrier properties of chitosan coated polyethylene,packaging,"['chitosan', 'coated', 'PE']",,SYMBOLIC,1,https://doi.org/10.1016/j.memsci.2012.02.037
1121,Barrier properties of chitosan coated polyethylene,packaging,"['Coated', 'PE', 'films']",,SYMBOLIC,1,https://doi.org/10.1016/j.memsci.2012.02.037
1120,Barrier properties of chitosan coated polyethylene,packaging,"['chitosan', 'coated', 'polyethylene']",,SYMBOLIC,1,https://doi.org/10.1016/j.memsci.2012.02.037
1119,Barrier and surface properties of chitosan-coated greaseproof paper,packaging,['coating'],,SYMBOLIC,1,https://doi.org/10.1016/j.carbpol.2006.02.005
1118,Barrier and surface properties of chitosan-coated greaseproof paper,packaging,['EVOH'],,SYMBOLIC,1,https://doi.org/10.1016/j.carbpol.2006.02.005
1117,Barrier and surface properties of chitosan-coated greaseproof paper,packaging,['PETP'],,SYMBOLIC,1,https://doi.org/10.1016/j.carbpol.2006.02.005
1116,Barrier and surface properties of chitosan-coated greaseproof paper,packaging,"['poly', '(', 'ethylene', 'terephthalate', ')']",,SYMBOLIC,1,https://doi.org/10.1016/j.carbpol.2006.02.005
1115,Barrier and surface properties of chitosan-coated greaseproof paper,packaging,"['pure', 'chitosan', 'films']",,SYMBOLIC,1,https://doi.org/10.1016/j.carbpol.2006.02.005
1114,Barrier and surface properties of chitosan-coated greaseproof paper,packaging,"['chitosan', 'films']",,SYMBOLIC,1,https://doi.org/10.1016/j.carbpol.2006.02.005
1124,Barrier properties of chitosan coated polyethylene,packaging,"['Chitosan', 'blends']",,SYMBOLIC,1,https://doi.org/10.1016/j.memsci.2012.02.037
1113,Barrier and surface properties of chitosan-coated greaseproof paper,packaging,"['Greaseproof', 'papers']",,SYMBOLIC,1,https://doi.org/10.1016/j.carbpol.2006.02.005
1111,Barrier and mechanical properties of carrot puree films,packaging,"['carrot', 'puree', 'film']",,SYMBOLIC,1,https://doi.org/10.1016/j.fbp.2010.03.012
1110,Barrier and mechanical properties of carrot puree films,packaging,"['carrot', 'puree', 'films']",,SYMBOLIC,1,https://doi.org/10.1016/j.fbp.2010.03.012
1109,Barrier and mechanical properties of carrot puree films,packaging,"['Carrot', 'puree', 'films']",,SYMBOLIC,1,https://doi.org/10.1016/j.fbp.2010.03.012
1108,Barrier and mechanical properties of carrot puree films,packaging,"['carrot', 'films']",,SYMBOLIC,1,https://doi.org/10.1016/j.fbp.2010.03.012
1107,Barrier and mechanical properties of carrot puree films,packaging,"['Edible', 'film']",,SYMBOLIC,1,https://doi.org/10.1016/j.fbp.2010.03.012
1106,Barrier and mechanical properties of carrot puree films,packaging,"['edible', 'films']",,SYMBOLIC,1,https://doi.org/10.1016/j.fbp.2010.03.012
1105,Application of bioplastics for food packaging,packaging,"['multilayered', 'biobased', 'films']",,SYMBOLIC,1,https://doi.org/10.1016/j.tifs.2013.06.003
1104,Application of bioplastics for food packaging,packaging,['biopolymer'],,SYMBOLIC,1,https://doi.org/10.1016/j.tifs.2013.06.003
